stt,wrong,right
2228,con này cốp rộng đi vẩn rất mạnh rất ngon,con này cốp rộng đi vẫn rất mạnh rất ngon
2229,đi như vạy xe có bị giãm tốc đo hay tăng ko a,đi như vậy xe có bị giảm tốc độ hay tăng không anh
2230,bộ nồi đó bao nhiẻu tiền vậy shop ,bộ nồi đó bao nhiêu tiền vậy shop 
2231,cho e xin chi tiết chuông rang là no ntn ,cho em xin chi tiết chuông gang là nó như thế nào 
2232,đã có quốc tịch mỹ chưa hay vẩn thẻ xanh,đã có quốc tịch mỹ chưa hay vẫn thẻ xanh
2233,vụ này sẽ trở thành một cuốn phim nỗi tiếng và ăn khách thuộc hàng nhất thế giới,vụ này sẽ trở thành một cuốn phim nổi tiếng và ăn khách thuộc hàng nhất thế giới
2234,nồi bắc rất lanh và nước hậu rất tốt,nồi bắt rất lanh và nước hậu rất tốt
2235,tạo cho mình cảm giác rất hoài lòng,tạo cho mình cảm giác rất hài lòng
2236,bò đỏ nào muốn đổi công việc thì theo phụ việc vặc cho mình,bò đỏ nào muốn đổi công việc thì theo phụ việc vặt cho mình
2237,để tao hỏi mẹ mài ,để tao hỏi mẹ mày
2238,ở sứ tự do người việt mình phát huy được tài năng,ở xứ tự do người việt mình phát huy được tài năng
2239,buổi vận động ủng hộ cho anh quá sôi nỗi,buổi vận động ủng hộ cho anh quá sôi nổi
2240,bé như cái lổ mũi,bé như cái lỗ mũi
2241,báo cáo tễ tướng ,báo cáo tể tướng 
2242,nó nói rẽ quá bằng 1 bữa ăn bên mỹ của nó,nó nói rẻ quá bằng 1 bữa ăn bên mỹ của nó
2243,chế bình xăng con cho xe ít ang xăng,chế bình xăng con cho xe ít ăn xăng
2244,qua khênh e có con e mới dọn bao đẹp . hơn xua luon ,qua kênh em có con em mới dọn bao đẹp. hơn xưa luôn 
2245,tìm bài viết vêd bảng xetd dấu rồi đock,tìm bài viết về bảng xét dấu rồi đọc
2246,nhửng kẻ bưng bô ,những kẻ bưng bô 
2247,dàng dựng video giải cứu chó mèo,dàn dựng video giải cứu chó mèo
2248,ông bán chó củng là diễn viên,ông bán chó cũng là diễn viên
2249,hãy chung tay báo cáo cho tụi này vo tù hết ,hãy chung tay báo cáo cho tụi này vô tù hết 
2250,cố gắng giữ vững tin thần đừng sợ hải bọn xấu,"cố gắng giữ vững tin thần, đừng sợ hãi bọn xấu"
2251,lùa đảo là do,lừa đảo là do
2252,a làm ơn gửi cho e ống sáu tăng cam loại cos với,anh làm ơn gửi cho em ống sáo tăng cam loại cos với
2253,chắc nó bị chủi nên tức cái post này,chắc nó bị chửi nên tức cái post này
2254,điều gia thân nhân gia đình người ta,điều tra thân nhân gia đình người ta
2255,lễ giổ tổ sân khầu năm 2022,lễ giỗ tổ sân khấu năm 2022
2256,khi nào đá nổi long chìm,khi nào đá nổi lông chìm
2257,hiểu rỏ hơn về nhân quyền,hiểu rõ hơn về nhân quyền
2258,hàng họ quá hịn rồi ,hàng họ quá xịn rồi 
2259,tối ngày xâm xoi,tối ngày săm soi
2260,đã dấu được mặt như bạn thì hãy đưa tin bình luận,đã giấu được mặt như bạn thì hãy đưa tin bình luận
2261,chứng minh le vồ của pháp sư ở tầm cở nào,chứng minh level của pháp sư ở tầm cỡ nào
2262,của cả sỹ x,của ca sỹ x
2263,một người luận sự mà nói tiếng việt sai ngữ pháp,một người luật sư mà nói tiếng việt sai ngữ pháp
2264,ở bên mỷ đèn nhà ai nấy sáng,ở bên mỹ đèn nhà ai nấy sáng
2265,tôi tự chế động cơ boxer va khung xe cho bản thanh,tôi tự chế động cơ boxer và khung xe cho bản thân
2266,hướng dẩn cách chạy rodai cho xe máy hiệu quả,hướng dẫn cách chạy rodai cho xe máy hiệu quả
2267,mẹo giúp bô xe sữ dụng 10 năm sau vẩn bền ,mẹo giúp bô xe sử dụng 10 năm sau vẫn bền 
2268,giúp dở nhau,giúp đỡ nhau
2269,chyuen giói sao có con,chuyển giới sao có con
2270,giống thánh gắt muối,giống thánh rắc muối
2271,trấn động,chấn động
2272,là người có rất nhìu phước đức,là người có rất nhiều phước đức
2273,đâ trở về,đã trở về
2274,cuộc sống mỷ là số 1,cuộc sống mỹ là số 1
2275,không còn cách vương lên nên họ phải chấp nhận cuộc sống,không còn cách vươn lên nên họ phải chấp nhận cuộc sống
2276,chân chống inox lắp đặc cho mọi loại xe,chân chống inox lắp đặt cho mọi loại xe
2277,đầu nói dây ga lắp đặc được mọi xe,đầu nối dây ga lắp đặt được mọi xe
2278,sao lúc mấy ông chọp lấy bao thư tiền hối lộ ,sao lúc mấy ông chộp lấy bao thư tiền hối lộ 
2279,mạnh mẻ lên người anh em ukraina,mạnh mẽ lên người anh em ukraine
2280,danh sách nhân sự đi lao động định cư eb3 chổ x,danh sách nhân sự đi lao động định cư eb3 chỗ x
2281,làm sạch thứ rác rưỡi nguy hiểm này,làm sạch thứ rác rưởi nguy hiểm này
2282,cám ơn em đả cho tất cả dân việt ở khắp nơi trên thế giới biết được tu đúng,cám ơn em đã cho tất cả dân việt ở khắp nơi trên thế giới biết được tu đúng
2283,chúng không cho ra sửa,chúng không cho ra sữa
2284,mà lỡ dính da rát quá tr,mà lỡ dính da rát quá trời
2285,ko biết nữa hên sui,không biết nữa hên xui
2286,"bọn dâm đảng, hạ cấp","bọn dâm đãng, hạ cấp"
2287,đã tử chối cầm,đã từ chối cầm
2288,kiên nhẫn giải thích mà thèng em ko chịu hiểu,kiên nhẫn giải thích mà thằng em không chịu hiểu
2289,chính quyền bên hoàng gia anh ép đặc,chính quyền bên hoàng gia anh áp đặt
2290,vát súng xuống đường,vác súng xuống đường
2291,cười té ngữa,cười té ngửa
2292,tui sợ nhất chỉ là chộm cướp thôi,tui sợ nhất chỉ là trộm cướp thôi
2293,mới vô hút đầu là quý tay chân luôn,mới vô khúc đầu là quýu tay chân luôn
2294,đáp án chĩnh xác,đáp án chính xác
2295,tập bóc đầu xe không côn đc hk anh,tập bốc đầu xe không côn được không anh
2296,a nên cần thận,anh nên cẩn thận
2297,khi vô chổ nào,khi vô chỗ nào
2298,nói về đồ chơi wave lỏ chân thực,nói về đồ chơi wave nhỏ chân thực
2299,xe kỹ niệm và cái kết,xe kỷ niệm và cái kết
2300,mặt xà lỏn,mặc xà lỏn
2301,shop phàn hồi tốt lắm,shop phản hồi tốt lắm
2302,xin hãy liên thệ theo các thông tin sau,xin hãy liên hệ theo các thông tin sau
2303,"tỉ lệ 1:1 cho keo mau khô (khoản 30 phúc, chết keo 24h)","tỉ lệ 1:1 cho keo mau khô (khoảng 30 phút, chết keo 24h)"
2304,chắc ai đó sẻ cần,chắc ai đó sẽ cần
2305,ae cứ việt chạy trước và cái kết,anh em cứ việc chạy trước và cái kết
2306,tự thú sẻ được quyền lợi,tự thú sẽ được quyền lợi
2307,hỏi mẹ và ngoại mài sẻ biết,hỏi mẹ và ngoại mày sẽ biết
2308,thanh lý mâm cu,thanh lý mâm cũ
2309,hiểu gòi,hiểu rồi
2310,cảnh đẹp vả bình yên quá,cảnh đẹp và bình yên quá
2311,cần phải làm rỏ ràng,cần phải làm rõ ràng
2312,sư thầy hơn 20 năm gắng đá cuội toàn bộ ngôi chùa,sư thầy hơn 20 năm gắn đá cuội toàn bộ ngôi chùa
2313,chửi mỹ là công vc,chửi mỹ là công việc
2314,cũng dạy cho dài chiêu,cũng dạy cho vài chiêu
2315,xe nào chạy võ lớp cũng mòn ko điều đâu,xe nào chạy vỏ lốp cũng mòn không đều đâu
2316,xe tay ga kh đâm đụng chạy nó bị nghiên bên phải là do lốp mòn kh đều đk a ,"xe tay ga không đâm đụng, chạy nó bị nghiêng bên phải là do lốp mòn không đều đúng không anh "
2317,bọn dưa luận viên chen vào phê phán,bọn dư luận viên chen vào phê phán
2318,làm lại máy blade chở nặng run dựt gỏ dên,làm lại máy blade chở nặng run giật gõ dên
2319,"rất hay, đág để học hỏi","rất hay, đáng để học hỏi"
2320,mong rằng kênh luân cập nhật tin tức kịp thời chính xác,mong rằng kênh luôn cập nhật tin tức kịp thời chính xác
2321,tin vào ông trung quốc là từ chết tới bị thương việt nam củng là một nạn nhân,tin vào ông trung quốc là từ chết tới bị thương việt nam cũng là một nạn nhân
2322,lũ quân xâm lược.đã đến giờ phải đèn tội,lũ quân xâm lược đã đến giờ phải đền tội
2323,chíc mừng đã chiến thắng,chúc mừng đã chiến thắng
2324,quân cướp nga bỏ chạy tuột quần nè đừng lên đài bóc phét nửa,"quân cướp nga bỏ chạy tụt quần nè, đừng lên đài bốc phét nữa"
2325,niên thiên vừa thôi,luyên thiên vừa thôi
2326,chia sẽ thực tế ,chia sẻ thực tế 
2327,lời lẽ giãn dị mà thấm thía tận cùng,lời lẽ giản dị mà thấm thía tận cùng
2328,rất ngưởng mộ anh ,rất ngưỡng mộ anh 
2329,chiến sỉ truyền thông của dân việt này,chiến sĩ truyền thông của dân việt này
2330,mong anh luôn khỏe khoắng đễ chưỡi tụi bò đõ khốn nạn,mong anh luôn khỏe khoắn để chửi tụi bò đỏ khốn nạn
2331,thông qua câc admins này,thông qua các admins này
2332,anh đao lòng quá,anh đau lòng quá
2333,zận quá mất khôn,giận quá mất khôn
2334,chắc tầm cở “tiến sĩ” hay “ phó giáo sư”,chắc tầm cỡ “tiến sĩ” hay “ phó giáo sư”
2335,cãm ơn x cùng ace,cảm ơn x cùng anh chị em
2336,nếu có diệp mình chia sẻ cho các bạn tham khảo nha,nếu có dịp mình chia sẻ cho các bạn tham khảo nha
2337,mình róp bi bị lộn chiều rồi sẻ nhanh hỏng,mình ráp bi bị lộn chiều rồi sẽ nhanh hỏng
2338,là buôn ga là sẻ căt côn nhanh sẻ có trớn,là buông ga là sẽ cắt côn nhanh sẽ có trớn
2339,ráp bi xen kẻ cho khỏi lan tan ,ráp bi xen kẽ cho khỏi lăn tăn 
2340,không dùng thướt lá thì không bao giờ chính xác được nhé,không dùng thước lá thì không bao giờ chính xác được nhé
2341,do sên cam nó cọ sát thôi,do sên cam nó cọ xát thôi
2342,sài xe rất kỉ,xài xe rất kỹ
2343,thợ bảo mua bộ vô lăng mâm lửa sịn là nó hết,thợ bảo mua bộ vô lăng mâm lửa xịn là nó hết
2344,kỉ quá thì khỏi sửa cho khỏe,kĩ quá thì khỏi sửa cho khỏe
2345,thoi đó mua 8 cây vàng ,thời đó mua 8 cây vàng 
2346,đã được chang bị tư rất lâu,đã được trang bị từ rất lâu
2347,sau đó tâch 1 chân ra làm nhiều trò kg thua gì ,sau đó tách 1 chân ra làm nhiều trò không thua gì 
2348,mình nghỉ len tiếng làm video chê mặt lại nói lên sự thật,mình nghĩ lên tiếng làm video che mặt lại nói lên sự thật
2349,còn chổ trống,còn chỗ trống
2350,ăn cắp tiền rút từ thẽ tin dụng của khách hàng,ăn cắp tiền rút từ thẻ tín dụng của khách hàng
2351,của đổ hốt lại nó sẽ bõ luôn không chuộc lại đâu,của đổ hốt lại nó sẽ bỏ luôn không chuộc lại đâu
2352,tât cả nhung nguòi sấp đua tièn cho x mà đả nghe video clip của y thỉ nên ,tất cả những nguời sắp đưa tiền cho x mà đã nghe video clip của y thì nên 
2353,thuế chấp hết xong khai bankcruptcy thì khỏi phải trả nợ,thế chấp hết xong khai bankruptcy thì khỏi phải trả nợ
2354,nhưng không giể đâu,nhưng không dễ đâu
2355,toàn lũ lửa đảo,toàn lũ lừa đảo
2356,dụ xong diết,dụ xong giết
2357,ngủ ngật,ngủ gật
2358,đi viện bảo lảnh : đang ở sanjose ,"đi diện bảo lãnh, đang ở sanjose "
2359,chửi thằng này là đún đấy,chửi thằng này là đúng đấy
2360,kon lai,con lai
2361,sợ kênh sẻ sập,sợ kênh sẽ sập
2362,chữ nghĩa nghèo nàn làm sao lùa người nước ngoài,chữ nghĩa nghèo nàn làm sao lừa người nước ngoài
2363,nó khai thác nhiều nửa,nó khai thác nhiều nữa
2364,sao thấy chiếc xe nó quen giữ vậy ta,sao thấy chiếc xe nó quen dữ vậy ta
2365,nhứt đầu sửa hoài muốn hết,nhức đầu sửa hoài muốn hết
2366,mới mua đức hết đài của,mới mua đứt hết đài của
2367,nua mừng nửa lo,nửa mừng nửa lo
2368,cần mua xe máy về trở hàng,cần mua xe máy về chở hàng
2369,hướng dẫn gáp cam cò,hướng dẫn ráp cam cò
2370,sao hay ra dẻ quá,sao hay ra vẻ quá
2371,mắt cười với cặp này lắm lun,mắc cười với cặp này lắm luôn
2372,sẻ như thế nào,sẽ như thế nào
2373,ũng hô ông,ủng hộ ông
2374,vài bữa nữa làm thêm bộ bảo vệ dàng áo luôn cho đủ bộ a,vài bữa nữa làm thêm bộ bảo vệ dàn áo luôn cho đủ bộ anh
2375,sài bà càng loại nào ngon,xài ba càng loại nào ngon
2376,nội ding clip thật tuyệt vời,nội dung clip thật tuyệt vời
2377,cách xửa chữa,cách sửa chữa
2378,có tin kao mướn luật sư kiện cho mài lên bờ xuống ruộng như x đã nàm hong,có tin tao mướn luật sư kiện cho mày lên bờ xuống ruộng như x đã làm không
2379,2 hảng xe tư nhân điều hành bỡi kỹ sư thượng thặng,2 hãng xe tư nhân điều hành bởi kỹ sư thượng thặng
2380,ủng hộ anh phân tích chín xác,ủng hộ anh phân tích chính xác
2381,đức thắng,đứt thắng
2382,doanh nghiệp mỷ gửi kiến nghị cho,doanh nghiệp mỹ gửi kiến nghị cho
2383,diễn viên kiêm hổ trợ diễn xuất ,diễn viên kiêm hỗ trợ diễn xuất 
2384,vừa xuỡng sận bay nữa kìa,vừa xuống sân bay nữa kìa
